variant,query,latency_ms_avg,results_count
mini_seq_bm25_pr,Mount Everest climbing expeditions,7212.51,100
mini_seq_bm25_pr,Great Fire of London 1666,8162.01,100
mini_seq_bm25_pr,Nanotechnology materials science,5941.04,100
mini_seq_bm25_pr,Fossil fuels climate change,7665.36,100
mini_seq_bm25_pr,DNA double helix discovery,7451.86,100
mini_seq_bm25_pr,Printing press invention Gutenberg,7519.75,100
mini_seq_bm25_pr,Ancient Egypt pyramids pharaohs,7383.88,100
mini_seq_bm25_pr,Gothic literature Mary Shelley,7713.92,100
mini_seq_bm25_pr,Robotics automation industry,5827.23,100
mini_seq_bm25_pr,Television invention broadcast media,7545.92,100
mini_seq_bm25_pr,Wright brothers first flight,5607.80,100
mini_seq_bm25_pr,Steam locomotive transportation history,5460.85,100
mini_seq_bm25_pr,Currency history gold standard,5355.20,100
mini_seq_bm25_pr,Renaissance art Leonardo da Vinci,7863.42,100
mini_seq_bm25_pr,Shakespeare plays Elizabethan theatre,7477.21,100
mini_seq_bm25_pr,Solar eclipse astronomy observation,7957.26,100
mini_seq_bm25_pr,Renaissance architecture Florence Italy,6704.83,100
mini_seq_bm25_pr,Impressionism Monet Renoir,5482.95,100
mini_seq_bm25_pr,Samurai code Bushido Japan,6606.05,100
mini_seq_bm25_pr,Fossil record paleontology evidence,7342.10,100
mini_seq_bm25_pr,Silk Road trade cultural exchange,9172.62,100
mini_seq_bm25_pr,Industrial Revolution steam engines,6863.44,100
mini_seq_bm25_pr,Green Revolution agriculture yield,8017.90,100
mini_seq_bm25_pr,Quantum computing future technology,6921.47,100
mini_seq_bm25_pr,Viking exploration North America,8064.25,100
mini_seq_bm25_pr,Roman aqueducts engineering innovation,7059.12,100
mini_seq_bm25_pr,Coffee history Ethiopia trade,5479.92,100
mini_seq_bm25_pr,Stonehenge prehistoric monument,5866.94,100
mini_seq_bm25_pr,Photography invention Daguerre,5821.75,100
mini_seq_bm25_pr,Ballet origins France Russia,8147.12,100
mini_thr5_bm25_pr,Mount Everest climbing expeditions,2128.43,100
mini_thr5_bm25_pr,Great Fire of London 1666,3186.63,100
mini_thr5_bm25_pr,Nanotechnology materials science,2329.63,100
mini_thr5_bm25_pr,Fossil fuels climate change,2388.96,100
mini_thr5_bm25_pr,DNA double helix discovery,2656.38,100
mini_thr5_bm25_pr,Printing press invention Gutenberg,2559.37,100
mini_thr5_bm25_pr,Ancient Egypt pyramids pharaohs,2416.62,100
mini_thr5_bm25_pr,Gothic literature Mary Shelley,2847.86,100
mini_thr5_bm25_pr,Robotics automation industry,2379.82,100
mini_thr5_bm25_pr,Television invention broadcast media,2637.03,100
mini_thr5_bm25_pr,Wright brothers first flight,2294.31,100
mini_thr5_bm25_pr,Steam locomotive transportation history,2364.63,100
mini_thr5_bm25_pr,Currency history gold standard,2402.42,100
mini_thr5_bm25_pr,Renaissance art Leonardo da Vinci,2543.34,100
mini_thr5_bm25_pr,Shakespeare plays Elizabethan theatre,2506.51,100
mini_thr5_bm25_pr,Solar eclipse astronomy observation,2444.53,100
